"","X","x"
"1498",1498,2
"1499",1499,6
"1500",1500,3
"1501",1501,7
"1502",1502,13
"1503",1503,3
"1504",1504,10
"1505",1505,3
"1506",1506,576
"1507",1507,42
"1508",1508,13
"1509",1509,1463
"1510",1510,3
"1511",1511,7
"1512",1512,6
"1513",1513,1
"1514",1514,6
"1515",1515,3
"1516",1516,7
"1517",1517,7
"1518",1518,6
"1519",1519,13
"1520",1520,3
"1521",1521,6
"1522",1522,2
"1523",1523,2
"1524",1524,4
"1525",1525,167
"1526",1526,32
"1527",1527,6
"1528",1528,2
"1529",1529,74
"1530",1530,4
"1531",1531,3
"1532",1532,6
"1533",1533,6
"1534",1534,2
"1535",1535,7
"1536",1536,6
"1537",1537,2
"1538",1538,3
"1539",1539,3
"1540",1540,2
"1541",1541,2
"1542",1542,6
"1543",1543,6
"1544",1544,6
"1545",1545,3
"1546",1546,1
"1547",1547,1
"1548",1548,23
"1549",1549,23
"1550",1550,3
"1551",1551,6
"1552",1552,901
"1553",1553,7
"1554",1554,6
"1555",1555,6
"1556",1556,2
"1557",1557,3
"1558",1558,2
"1559",1559,1
"1560",1560,18
"1561",1561,18
"1562",1562,9
"1563",1563,3
"1564",1564,3
"1565",1565,3
"1566",1566,1566
"1567",1567,358
"1568",1568,77
"1569",1569,1878
"1570",1570,20
"1571",1571,13
"1572",1572,619
"1573",1573,55
"1574",1574,33
"1575",1575,997
"1576",1576,301
"1577",1577,4
"1578",1578,9
"1579",1579,10
"1580",1580,10
"1581",1581,6
"1582",1582,3
"1583",1583,36
"1584",1584,24
"1585",1585,1
"1586",1586,6
"1587",1587,6
"1588",1588,6
"1589",1589,2
"1590",1590,6
"1591",1591,6
"1592",1592,9
"1593",1593,1
"1594",1594,566
"1595",1595,1
"1596",1596,6
"1597",1597,2
"1598",1598,5
"1599",1599,15
"1600",1600,3
"1601",1601,3
"1602",1602,1216
"1603",1603,33
"1604",1604,6
"1605",1605,382
"1606",1606,1
"1607",1607,6
"1608",1608,3
"1609",1609,6
"1610",1610,3
"1611",1611,33
"1612",1612,46
"1613",1613,5
"1614",1614,6
"1615",1615,5
"1616",1616,1810
"1617",1617,264
"1618",1618,7
"1619",1619,1991
"1620",1620,2
"1621",1621,1
"1622",1622,3
"1623",1623,1
"1624",1624,6
"1625",1625,2
"1626",1626,3
"1627",1627,9
"1628",1628,3
"1629",1629,1
"1630",1630,6
"1631",1631,13
"1632",1632,10
"1633",1633,3
"1634",1634,6
"1635",1635,1
"1636",1636,3
"1637",1637,1
"1638",1638,33
"1639",1639,2
"1640",1640,13
"1641",1641,6
"1642",1642,5
"1643",1643,3
"1644",1644,5
"1645",1645,4
"1646",1646,3
"1647",1647,12
"1648",1648,6
"1649",1649,31
"1650",1650,4
"1651",1651,2
"1652",1652,6
"1653",1653,1
"1654",1654,1
"1655",1655,6
"1656",1656,3
"1657",1657,3
"1658",1658,31
"1659",1659,131
"1660",1660,2
"1661",1661,60
"1662",1662,1
"1663",1663,5
"1664",1664,37
"1665",1665,42
"1666",1666,65
"1667",1667,1
"1668",1668,2
"1669",1669,32
"1670",1670,7
"1671",1671,6
"1672",1672,3
"1673",1673,2
"1674",1674,7
"1675",1675,390
"1676",1676,3
"1677",1677,2
"1678",1678,2
"1679",1679,378
"1680",1680,3
"1681",1681,1732
"1682",1682,474
"1683",1683,3
"1684",1684,33
"1685",1685,20
"1686",1686,11
"1687",1687,368
"1688",1688,1
"1689",1689,2
"1690",1690,1
"1691",1691,31
"1692",1692,1
"1693",1693,6
"1694",1694,3
"1695",1695,13
"1696",1696,3
"1697",1697,3
"1698",1698,95
"1699",1699,3
"1700",1700,5
"1701",1701,1
"1702",1702,1
"1703",1703,2
"1704",1704,3
"1705",1705,3
"1706",1706,20
"1707",1707,7
"1708",1708,6
"1709",1709,6
"1710",1710,6
"1711",1711,3
"1712",1712,3
"1713",1713,1030
"1714",1714,405
"1715",1715,3
"1716",1716,5
"1717",1717,1717
"1718",1718,3
"1719",1719,7
"1720",1720,9
"1721",1721,6
"1722",1722,3
"1723",1723,6
"1724",1724,10
"1725",1725,4
"1726",1726,6
"1727",1727,3
"1728",1728,6
"1729",1729,3
"1730",1730,3
"1731",1731,21
"1732",1732,3
"1733",1733,2
"1734",1734,3
"1735",1735,193
"1736",1736,11
"1737",1737,3
"1738",1738,1
"1739",1739,9
"1740",1740,13
"1741",1741,3
"1742",1742,1404
"1743",1743,7
"1744",1744,23
"1745",1745,2
"1746",1746,92
"1747",1747,8
"1748",1748,1
"1749",1749,6
"1750",1750,21
"1751",1751,3
"1752",1752,5
"1753",1753,12
"1754",1754,4
"1755",1755,1
"1756",1756,279
"1757",1757,2
"1758",1758,5
"1759",1759,3
"1760",1760,1
"1761",1761,3
"1762",1762,2
"1763",1763,6
"1764",1764,748
"1765",1765,7
"1766",1766,9
"1767",1767,23
"1768",1768,22
"1769",1769,19
